000000	I	,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	PRON

000001	predict	VERB,VERB,VERB,VERB,,VERB,VERB,VERB,VERB,NOUN,VERB,,VERB,,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,,VERB,NOUN,,VERB,VERB,VERB,VERB,VERB,,,,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,,VERB,VERB,,,VERB,VERB,VERB,VERB,VERB,,VERB,VERB,VERB,VERB,VERB,VERB,VERB,ADJ,VERB,VERB,VERB,VERB,,VERB,,VERB,VERB,VERB,VERB,VERB,,VERB,VERB,VERB,VERB,,,VERB,,,,VERB,VERB,VERB,VERB,VERB,,VERB,NOUN,VERB,VERB,VERB,,VERB,,VERB,VERB,VERB,VERB,,,VERB,VERB,VERB,VERB,VERB,VERB,VERB,,VERB,VERB,VERB,VERB,,VERB,,VERB,VERB,VERB,,VERB,VERB,VERB,,VERB,VERB,VERB,NOUN,VERB,VERB,VERB,VERB,VERB,ADP,VERB,VERB,VERB,VERB,,VERB,VERB,VERB,VERB,VERB,VERB,,,VERB,VERB,VERB,VERB,VERB,VERB,ADJ,VERB,,,VERB,VERB	VERB

000002	I	PRON,PRON,PRON,PRON,,PRON,PRON,PRON,PRON,,PRON,,,,PRON,PRON,NOUN,PRON,PRON,PRON,PRON,PRON,,PRON,PRON,PRON,PRON,,PRON,PRON,PRON,,,PRON,NOUN,PRON,,,PRON,PRON,PRON,NOUN,PRON,PRON,PRON,PRON,PRON,,PRON,,PRON,PRON,PRON,PRON,PRON,PRON,PRON,,PRON,PRON,,PRON,PRON,PRON,PRON,PRON,PRON,,PRON,,NOUN,PRON,,PRON,PRON,,PRON,PRON,PRON,PRON,,,PRON,PRON,PRON,PRON,PRON,PRON,,NOUN,PRON,PRON,PRON,,,PRON,PRON,,,PRON,PRON,PRON,,NOUN,,PRON,PRON,PRON,PRON,PRON,PRON,PRON,,,,,PRON,,PRON,,PRON,PRON,PRON,PRON,PRON,PRT,,PRON,.,PRON,PRON,,PRON,,PRON,PRON,PRON,PRON,,PRON,PRON,,PRON,PRON,PRON,,PRON,DET,PRON,PRON,NOUN,PRON,PRON,PRON,PRON,PRON,,,PRON,PRON,PRON,PRON,PRON,,,PRON,PRON,PRON,PRON,PRON,NOUN,PRON,NOUN,,,PRON,	PRON

000003	won't	,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRT,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,	VERB

000004	win	,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	VERB

000005	a	DET,,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	DET

000006	single	,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADJ,,ADJ,,,,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADJ,,,,,,,,,,,	ADJ

000007	game	,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOUN,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOUN,,,,	NOUN

000008	I	,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	PRON

000009	bet	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,VERB,,,,,,VERB,,VERB,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,	VERB

000010	on	,,,,,,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV,,,,,,,,,,ADP,,,,,,,,,,,,,ADP,,,,,,,,,,,,,,	ADP

000011	.	,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	.

000012	Got	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,VERB,,,,,,VERB,,,,,,,,	VERB

000013	Cliff	,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	NOUN

000014	Lee	,,,,,NOUN,,,NOUN,,,,,,,,,,,,,,,,NOUN,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	NOUN

000015	today	,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV,,,,,,,	NOUN

000016	,	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,	.

000017	so	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONJ,,,,,,,,,,,,,,,,,,,,,,CONJ,,,,,,,,,,,,CONJ,,,,,,CONJ,,,,,,,,,,,,,,,	ADP

000018	if	,,,,,,,,,,,,,,,,CONJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,,ADP,,,,,,,,,,,	ADP

000019	he	,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,,,,,,,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,,,,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	PRON

000020	loses	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,PRT,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,	VERB

000021	its	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,,,,,,PRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRON,,,,,,,,,,,,,,,,,,	PRT

000022	on	,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADP,,,,,,,,,,,,,,,,,,,,,,ADP,,,,,,,,,,,,ADP,,,,,,,,,,,,,,,,,,,,,	ADP

